9	102	10000	100
9	65	9754	2.3
9	113	13000	1300
9	120	10000	200
9	113	8089	102
9	200	6000	100
9	68	6850	478
16	30	4000	200
6	25	10000	100
5	80	9000	60
9		8000	25
9	102	6383	18
9	60	7865	3.2
9	100	10000	115
9	26		50
8	56	20000	1500
9	120	3500	450
9		9000	90
9		26000	26
8	80	7340	64
9	102	13000	2.5
9	102	15000	
9	100		30
9	102	10000	120
	100	8687	9999
	102	27482	324
			110
	9	20000	30
